Result	Trial	Arena	Assay	ChDate	Sex	LizID	Trt	TotalDist	Velocity	Social_Freq	Social_Duration	Social_LatFirst	Neutral_Freq	Neutral_Duration	Neutral_LatFirst	Asocial_Freq	Asocial_Duration	Asocial_LatFirst	NovItem_Freq	NovItem_Duration	NovItem_LatFirst	NovZone_Freq	NovZone_Duration	NovZone_LatFirst	Hide_Freq	Hide_Duration	Hide_DurationOrig	Hide_LatFirst	Entry_Freq	Entry_Duration	Entry_LatFirst	Arena_Freq	Arena_Duration	Arena_LatFirst
Result 1	Trial    12	Arena 1	Exploration	CH4_18.12.15_DVR2	M	36	High	35.476	0.0295634	0	0	NA	1	60.24	0	1	20.28	60.24	0	0	NA	0	0	NA	1	1119.52	1119.52	80.52	3	12.16	67.36	1	1200.04	0
Result 1	Trial    12	Arena 2	Exploration	CH4_18.12.15_DVR2	F	90	High	61.2743	0.0510619	1	147.28	0	1	2.8	147.28	11	4.12	150.08	0	0	NA	1	1.76	146.24	11	1045.84	1045.84	150.84	11	3.68	150.52	1	1200.04	0
Result 1	Trial    12	Arena 3	Exploration	CH4_18.12.15_DVR2	F	141	High	53.3112	0.0447994	1	237.32	0	1	2.32	237.32	1	950.52	239.64	0	0	NA	0	0	NA	0	9.88	0	0	1	946.72	243.44	1	1190.16	0
Result 1	Trial    12	Arena 4	Exploration	CH4_18.12.15_DVR2	F	54	Low	608.813	0.507344	6	409.32	0	15	117.32	378.2	25	299.6	382.92	2	2.8	844.48	16	32.44	377.68	15	373.8	373.8	383.56	32	129.76	383.36	1	1200.04	0
Result 1	Trial    13	Arena 1	Exploration	CH1_19.12.15_DVR2	F	134	High	133.631	0.111359	1	118.76	0	1	4.44	118.76	9	153.68	123.2	0	0	NA	0	0	NA	9	923.16	923.16	156.68	10	142.56	129.56	1	1200.04	0
Result 1	Trial    13	Arena 2	Exploration	CH1_19.12.15_DVR2	M	24	High	322.01	0.268342	3	196.84	0	5	22.52	147.16	27	429.96	152.6	3	5.96	138	7	10.12	137.16	24	550.72	550.72	216.48	39	364.16	164.96	1	1200.04	0
Result 1	Trial    13	Arena 3	Exploration	CH1_19.12.15_DVR2	M	117	High	780.215	0.650179	8	691.12	0	17	74.4	541.28	17	319.8	542.52	3	2.2	842.44	16	108.36	540.52	7	114.72	114.72	544.4	28	78.32	543.92	1	1200.04	0
Result 1	Trial    13	Arena 4	Exploration	CH1_19.12.15_DVR2	F	22	Low	781.174	0.650978	6	179.76	0	17	202.36	55.92	71	498.6	57.12	0	0	NA	7	156.44	0	59	319.32	319.32	93.48	77	298	89.36	1	1200.04	0
Result 1	Trial    14	Arena 1	Exploration	CH2_19.12.15_DVR2	M	26	High	95.1011	0.0792509	1	255.6	0	1	33.52	255.6	1	37.2	289.12	0	0	NA	0	0	NA	1	873.72	873.72	326.32	1	10.2	316.12	1	1200.04	0
Result 1	Trial    14	Arena 2	Exploration	CH2_19.12.15_DVR2	F	62	Low	69.0791	0.0575659	1	332.2	0	1	1.68	332.2	1	14.08	333.88	0	0	NA	69	173.24	0.24	1	852.08	852.08	347.96	2	5.12	342.76	1	1200.04	0
