,Trial,Arena,Assay,ChDate,Sex,LizID,Trt,TotalDist,Velocity,Hide_Freq,Hide_Duration,Hide_DurationOrig,Hide_LatFirst,Entry_Freq,Entry_Duration,Entry_LatFirst,NovItem_Freq,NovItem_Duration,NovItem_LatFirst,NovZone_Freq,NovZone_Duration,NovZone_LatFirst,Social_Freq,Social_Duration,Social_LatFirst,Neutral_Freq,Neutral_Duration,Neutral_LatFirst,Asocial_Freq,Asocial_Duration,Asocial_LatFirst,Arena_Freq,Arena_Duration,Arena_LatFirst
Result 1,Trial    11,Arena 3,Exploration,CH3_18.12.15_DVR1,F,0028,High,710.32,0.591934,47,534.72,534.72,81.04,64,278.2,79.72,3,7.04,74.44,15,35.28,2.68,6,241.52,0,12,49.24,76.2,54,374.56,79.08,1,1200.04,0
Result 1,Trial    11,Arena 4,Exploration,CH3_18.12.15_DVR1,F,0068,Low,112.208,0.0935067,5,791.08,791.08,216.96,14,75.36,216.56,0,0,-,1,2.16,213.08,1,215.04,0,2,4.6,215.04,7,189.32,215.88,1,1200.04,0
Result 1,Trial    12,Arena 1,Exploration,CH4_18.12.15_DVR1,F,0060,High,61.9062,0.0515885,2,693.96,693.96,506.04,2,0.2,505.88,1,0.28,504.56,2,0.96,503.92,1,504.8,0,1,0.72,504.8,2,0.56,505.52,1,1200.04,0
Result 1,Trial    12,Arena 2,Exploration,CH4_18.12.15_DVR1,F,0048,Low,526.91,0.439091,25,189.32,189.32,187.68,40,275,169.04,2,1.92,564.52,14,100.52,158.6,5,299.16,0,10,182.72,161.04,30,528.84,167.08,1,1200.04,0
Result 1,Trial    12,Arena 3,Exploration,CH4_18.12.15_DVR1,M,0002,High,34.5264,0.028772,1,1077.96,1077.96,122.08,1,0.12,121.96,0,0,-,1,119,0,1,120.08,0,1,0.76,120.08,1,1.24,120.84,1,1200.04,0
Result 1,Trial    12,Arena 4,Exploration,CH4_18.12.15_DVR1,M,0135,High,622.822,0.519019,30,451.48,451.48,299.8,46,63.88,297.44,6,26.16,280.44,22,102.72,276.16,14,428.64,0,21,118,281.76,38,201.92,294.92,1,1200.04,0
Result 1,Trial    13,Arena 1,Exploration,CH1_19.12.15_DVR1,M,0142,High,124.679,0.1039,17,801.12,801.12,365.64,20,25.2,356.36,0,0,-,1,311.12,0,1,335.68,0,1,5.56,335.68,17,57.68,341.24,1,1200.04,0
Result 1,Trial    13,Arena 2,Exploration,CH1_19.12.15_DVR1,M,0021,High,229.449,0.191207,6,754.6,754.6,313.2,16,46.4,300.48,0,0,-,1,3.36,983.24,2,329.08,0,4,21.92,290.92,8,94.44,297,1,1200.04,0
Result 1,Trial    13,Arena 3,Exploration,CH1_19.12.15_DVR1,F,0114,Low,111.237,0.0926974,2,1156.4,1156.4,42.72,2,1.08,42.56,1,1.48,26.84,2,1.96,25.8,1,32.28,0,1,9.44,32.28,2,1.92,41.72,1,1200.04,0
Result 1,Trial    13,Arena 4,Exploration,CH1_19.12.15_DVR1,F,0053,High,224.533,0.187111,9,862.8,862.8,194.08,15,47.84,193.84,0,0,-,2,4.56,191.32,2,210.64,0,4,22,192.36,11,104.6,193.32,1,1200.04,0
