"Result","Trial","Arena","Assay","ChDate","Sex","LizID","LizID_etho","Trt","TotalDist","Velocity","NovItem_Freq","NovItem_Duration","NovItem_LatFirst","NovZone_Freq","NovZone_Duration","NovZone_LatFirst","Hide_Freq","Hide_Duration","Hide_DurationOrig","Hide_LatFirst","Entry_Freq","Entry_Duration","Entry_LatFirst","Social_Freq","Social_Duration","Social_LatFirst","Neutral_Freq","Neutral_Duration","Neutral_LatFirst","Asocial_Freq","Asocial_Duration","Asocial_LatFirst","Arena_Freq","Arena_Duration","Arena_LatFirst","LizID_nums","LizID_num","liz_capture_date","liz_collect_site","date_of_measurements","hlen","hwid","EndMass","mass","svl","tail_length","liz_status","liz_death_date","liz_notes"
"Result 1","Trial     5","Arena 1","Exploration","CH1_17.12.15_DVR2","F","ld0134",134,"High",55.6263,"0.0463553",0,0,NA,0,0,NA,2,1121.64,1121.64,78.36,2,1.64,76.76,1,64,0,1,5.96,64,2,8.44,69.96,1,1200.04,0,134,NA,"7/09/2015","MP","7/09/2015",6.71,4.81,1.165,0.9,38,55,"ALIVE","",""
"Result 1","Trial     5","Arena 3","Exploration","CH1_21.12.15_DVR1","F","ld0019",19,"High",1453.15,"1.21096",2,3.68,176.48,13,20.44,16.08,81,210.52,210.52,36.16,95,160.48,36.24,13,386.76,0.72,26,141.52,0,94,461.24,28.2,1,1200.04,0,19,NA,"30/08/2015","UNSWKen","30/08/2015",7.21,4.93,1.287,1.3,41,66,"ALIVE","",""
"Result 1","Trial     5","Arena 3","Exploration","CH1_17.12.15_DVR3","F","ld0114",114,"Low",708.818,"0.590682",2,36.4,747.52,8,26.76,743.48,10,465.44,465.44,274.2,23,34.36,267.32,8,440.68,0,14,48.92,265.28,17,245,266.08,1,1200.04,0,NA,114,"5/09/2015","SP","5/09/2015",7.18,5.38,1.179,1.2,40,57,"ALIVE","","1 bite marks on ventral "
"Result 1","Trial     5","Arena 4","Exploration","CH1_21.12.15_DVR1","F","ld0112",112,"High",398.614,"0.332178",3,40.36,630.56,8,64.64,587.88,15,378.16,378.16,331.84,17,123.6,322.72,6,650.64,0,8,34.92,311.76,17,136.32,320.32,1,1200.04,0,112,NA,"5/09/2015","SP","5/09/2015",7.12,5.04,1.29,1.1,41,64,"ALIVE","","1 bite marks on ventral "
"Result 1","Trial     5","Arena 4","Exploration","CH1_17.12.15_DVR2","F","ld0022",22,"Low",753.465,"0.627888",6,61.8,534.36,16,141.28,0,30,258.68,258.68,187.16,45,205.36,130.68,7,452.92,0,13,72.44,123.6,37,416,124.52,1,1200.04,0,22,NA,"30/08/2015","UNSWKen","30/08/2015",6.95,5.33,1.441,1.5,44,65,"ALIVE","",""
"Result 1","Trial     5","Arena 4","Exploration","CH1_17.12.15_DVR3","F","ld0053",53,"High",251.646,"0.209705",0,0,NA,1,2.64,1047.64,14,658.92,658.92,421.6,24,60.12,375.2,2,374.84,0,4,10.12,359.6,16,156.16,362.68,1,1200.04,0,NA,53,"1/09/2015","SP","1/09/2015",7.2,5.22,1.264,1.2,40,64,"ALIVE","","few bite marks on ventral "
"Result 1","Trial     6","Arena 1","Exploration","CH2_17.12.15_DVR1","F","ld0063",63,"High",49.0991,"0.0409159",0,0,NA,0,0,NA,4,1166.56,1166.56,32.64,5,2.92,30.16,1,20.12,0,1,2.16,20.12,4,11.2,22.28,1,1200.04,0,NA,63,"1/09/2015","SP","1/09/2015",6.79,5.12,1.21,1.1,40,48,"ALIVE","","few bite marks on ventral. Regrown tail at the end "
"Result 1","Trial     6","Arena 2","Exploration","CH2_21.12.15_DVR1","F","ld0031",31,"Low",685.59,"0.571325",2,2.44,12.92,21,36,12.8,84,833.44,833.44,13.56,84,42.76,13.28,10,190.04,0,18,60.4,13.04,91,116.16,13.24,1,1200.04,0,31,NA,"30/08/2015","UNSWKen","30/08/2015",7.38,5.01,1.22,1.2,41,55,"ALIVE","","bite marks (i.e. from copulation) on ventral. Updated tc from tc0051on 6/12/16"
"Result 1","Trial     6","Arena 2","Exploration","CH2_17.12.15_DVR2","F","ld0062",62,"Low",95.1229,"0.0792691",0,0,NA,0,0,NA,1,964.24,964.24,235.8,4,30.56,196.36,1,185.68,0,1,1.4,185.68,1,48.72,187.08,1,1200.04,0,62,NA,"1/09/2015","SP","1/09/2015",6.94,5.08,1.08,1,39,59,"ALIVE","","bite marks (i.e. from copulation) on ventral. Updated TC 6/12/16, original tc0130"
"Result 1","Trial     6","Arena 3","Exploration","CH2_17.12.15_DVR1","F","ld0127",127,"Low",353.883,"0.294903",0,0,NA,0,0,NA,32,953.16,953.16,38,42,124.68,37.2,3,50.2,0,5,11.72,35.32,35,184.96,36.72,1,1200.04,0,NA,127,"7/09/2015","MP","7/09/2015",7.47,5.28,1.208,1,41,41,"ALIVE","","regrown tail, Updated tc from tcA304 on 6/12/16"
